timestamp,driver_number,lap_time,fastest,personal_fastest
01:21:20.717,4,1:33.943,False,False
01:21:25.004,12,1:32.902,False,False
01:21:26.690,63,1:32.755,False,False
01:21:29.665,23,1:32.968,False,False
01:21:30.605,55,1:33.538,False,False
01:21:31.849,16,1:33.409,False,False
01:21:33.306,22,1:33.489,False,False
01:21:34.643,31,1:33.377,False,False
01:21:35.089,44,1:33.369,False,False
01:21:38.678,6,1:33.241,False,False
01:21:40.849,5,1:33.547,False,False
01:21:42.547,27,1:33.743,False,False
01:21:44.721,18,1:33.694,False,False
01:21:45.516,87,1:33.878,False,False
01:21:47.018,10,1:33.775,False,False
01:21:49.114,14,1:33.290,False,False
01:22:01.743,30,1:34.692,False,False
01:22:48.527,81,1:31.687,True,False
01:22:53.468,1,1:33.178,False,False
01:22:53.806,4,1:33.099,False,False
01:22:57.929,12,1:32.878,False,False
01:22:59.605,63,1:32.886,False,False
01:23:02.279,23,1:32.612,False,True
01:23:03.417,55,1:32.915,False,False
01:23:05.127,16,1:33.207,False,False
01:23:06.742,22,1:33.366,False,False
01:23:08.343,31,1:33.697,False,False
01:23:08.680,44,1:33.513,False,False
01:23:11.735,6,1:33.151,False,False
01:23:14.628,5,1:33.778,False,False
01:23:16.117,27,1:33.591,False,False
01:23:18.743,18,1:33.913,False,False
01:23:19.069,87,1:33.584,False,False
01:23:20.542,10,1:33.390,False,False
01:23:22.491,14,1:33.246,False,False
01:23:36.217,30,1:34.401,False,False
01:24:20.280,81,1:31.793,False,False
01:24:28.393,1,1:34.857,False,False
01:24:28.629,4,1:34.855,False,False
01:24:30.704,12,1:32.734,False,False
01:24:32.366,63,1:32.690,False,False
01:24:34.745,23,1:32.506,False,False
01:24:36.329,55,1:32.857,False,False
01:24:38.080,16,1:33.050,False,False
01:24:40.019,22,1:33.213,False,False
01:24:41.527,31,1:33.186,False,False
01:24:42.048,44,1:33.399,False,False
01:24:45.205,6,1:33.366,False,False
01:24:48.155,5,1:33.581,False,False
01:24:49.717,27,1:33.607,False,False
01:24:52.560,18,1:33.859,False,False
01:24:53.098,87,1:33.997,False,False
01:24:54.033,10,1:33.478,False,False
01:24:55.943,14,1:33.477,False,False
01:25:11.044,30,1:34.820,False,False
01:25:52.194,81,1:31.954,False,False
01:26:00.892,4,1:32.384,False,False
01:26:01.572,1,1:33.253,False,False
01:26:03.682,12,1:33.014,False,False
01:26:05.381,63,1:33.100,False,False
01:26:07.424,23,1:32.648,False,False
01:26:09.613,55,1:33.257,False,False
01:26:11.316,16,1:33.269,False,False
01:26:13.229,22,1:33.325,False,False
01:26:15.118,31,1:33.610,False,False
01:26:15.479,44,1:33.440,False,False
01:26:18.418,6,1:33.330,False,False
01:26:22.040,5,1:33.890,False,False
01:26:23.306,27,1:33.621,False,False
01:26:26.081,18,1:33.590,False,False
01:26:26.780,87,1:33.693,False,False
01:26:27.546,10,1:33.528,False,False
01:26:29.170,14,1:33.313,False,False
01:26:45.718,30,1:34.722,False,False
01:27:23.970,81,1:31.662,True,True
01:27:33.032,4,1:32.038,False,False
01:27:34.470,1,1:32.824,False,False
01:27:36.743,12,1:33.113,False,False
01:27:38.320,63,1:32.858,False,False
01:27:40.093,23,1:32.736,False,False
01:27:42.083,55,1:32.546,False,False
01:27:43.946,16,1:32.610,False,False
01:27:46.405,22,1:33.148,False,False
01:27:48.544,31,1:33.406,False,False
01:27:48.886,44,1:33.444,False,False
01:27:51.840,6,1:33.365,False,False
01:27:56.692,27,1:33.461,False,False
01:27:59.630,18,1:33.545,False,False
01:28:00.200,87,1:33.533,False,False
01:28:00.444,5,1:38.410,False,False
01:28:01.046,10,1:33.563,False,False
01:28:02.488,14,1:33.239,False,False
01:28:20.230,30,1:34.501,False,False
01:28:55.574,81,1:31.711,False,False
01:29:04.942,4,1:31.884,False,False
01:29:07.830,1,1:33.284,False,False
01:29:09.704,12,1:32.901,False,False
01:29:11.009,63,1:32.751,False,False
01:29:12.745,23,1:32.601,False,False
01:29:14.806,55,1:32.658,False,False
01:29:16.746,16,1:32.671,False,False
01:29:19.619,22,1:33.150,False,False
01:29:21.504,31,1:32.989,False,False
01:29:21.985,44,1:32.965,False,False
01:29:25.167,6,1:33.290,False,False
01:29:29.974,27,1:33.252,False,True
01:29:33.807,87,1:33.613,False,False
01:29:34.345,10,1:33.441,False,False
01:29:35.621,14,1:33.190,False,False
01:29:38.009,18,1:38.388,False,False
01:29:46.987,5,1:46.558,False,False
01:29:54.695,30,1:34.448,False,False
01:30:27.471,81,1:31.822,False,False
01:30:36.369,4,1:31.555,True,True
01:30:40.447,1,1:32.693,False,False
01:30:42.481,12,1:32.781,False,False
01:30:43.793,63,1:32.820,False,False
01:30:45.195,23,1:32.551,False,False
01:30:47.907,55,1:33.213,False,False
01:30:49.290,16,1:32.673,False,False
01:30:52.331,22,1:32.758,False,True
01:30:55.009,31,1:33.479,False,False
01:30:55.230,44,1:33.329,False,False
01:30:58.251,6,1:33.069,False,False
01:31:03.330,27,1:33.282,False,False
01:31:07.072,87,1:33.087,False,True
01:31:07.646,10,1:33.143,False,False
01:31:09.096,14,1:33.521,False,False
01:31:19.273,5,1:32.328,False,True
01:31:24.509,18,1:46.462,False,False
01:31:29.121,30,1:34.492,False,False
01:31:59.332,81,1:31.843,False,False
01:32:08.061,4,1:31.537,False,False
01:32:12.917,1,1:32.472,False,False
01:32:15.245,12,1:32.710,False,False
01:32:16.427,63,1:32.592,False,True
01:32:17.709,23,1:32.390,False,True
01:32:20.894,55,1:32.858,False,False
01:32:22.133,16,1:32.735,False,False
01:32:25.105,22,1:32.829,False,False
01:32:29.545,44,1:34.369,False,False
01:32:30.163,31,1:35.102,False,False
01:32:36.543,27,1:33.272,False,False
01:32:36.858,6,1:38.581,False,False
01:32:39.948,87,1:32.971,False,False
01:32:40.733,10,1:33.025,False,True
01:32:42.695,14,1:33.504,False,False
01:32:51.705,5,1:32.414,False,False
01:32:57.131,18,1:32.538,False,True
01:33:03.521,30,1:34.433,False,False
01:33:30.594,81,1:31.465,True,True
01:33:39.413,4,1:31.478,False,False
01:33:45.527,1,1:32.636,False,False
01:33:47.606,12,1:32.400,False,True
01:33:48.883,63,1:32.432,False,False
01:33:50.100,23,1:32.397,False,False
01:33:53.384,55,1:32.557,False,False
01:33:54.795,16,1:32.685,False,False
01:33:57.994,22,1:32.855,False,False
01:34:03.054,44,1:33.387,False,False
01:34:08.827,31,1:38.825,False,False
01:34:09.546,27,1:32.881,False,True
01:34:12.948,87,1:33.088,False,False
01:34:13.433,10,1:32.798,False,False
01:34:16.119,14,1:33.461,False,False
01:34:22.535,6,1:45.757,False,False
01:34:24.223,5,1:32.423,False,False
01:34:30.122,18,1:33.019,False,False
01:34:38.038,30,1:34.530,False,False
01:35:02.221,81,1:31.429,False,False
01:35:10.734,4,1:31.312,True,False
01:35:18.001,1,1:32.440,False,False
01:35:20.094,12,1:32.500,False,False
01:35:21.377,63,1:32.540,False,False
01:35:22.522,23,1:32.430,False,False
01:35:26.262,55,1:32.846,False,False
01:35:27.533,16,1:32.858,False,False
01:35:30.747,22,1:32.673,False,True
01:35:35.623,44,1:32.636,False,False
01:35:42.270,27,1:32.738,False,False
01:35:45.647,87,1:32.680,False,True
01:35:46.249,10,1:32.831,False,False
01:35:49.269,14,1:33.165,False,False
01:35:54.473,6,1:32.032,False,True
01:35:55.647,31,1:46.766,False,False
01:35:57.424,5,1:33.275,False,False
01:36:03.087,18,1:33.004,False,False
01:36:12.469,30,1:34.337,False,False
01:36:33.548,81,1:31.392,False,False
01:36:42.401,4,1:31.453,False,False
01:36:50.425,1,1:32.523,False,False
01:36:53.708,63,1:32.356,False,True
01:36:54.405,23,1:32.076,False,True
01:36:57.353,12,1:37.258,False,False
01:36:59.917,16,1:32.417,False,True
01:37:03.156,22,1:32.528,False,False
01:37:03.594,55,1:37.333,False,False
01:37:08.295,44,1:32.674,False,False
01:37:14.709,27,1:32.441,False,False
01:37:18.852,87,1:33.054,False,False
01:37:19.123,10,1:32.853,False,False
01:37:22.647,14,1:33.268,False,False
01:37:26.174,6,1:31.644,False,False
01:37:27.021,31,1:31.358,False,True
01:37:30.697,5,1:33.162,False,False
01:37:35.810,18,1:32.687,False,False
01:37:46.595,30,1:34.094,False,False
01:38:05.122,81,1:31.507,False,False
01:38:13.533,4,1:31.277,True,True
01:38:25.697,63,1:32.020,False,False
01:38:27.496,1,1:36.935,False,False
01:38:31.772,23,1:37.279,False,False
01:38:32.707,16,1:32.749,False,False
01:38:35.934,22,1:32.634,False,False
01:38:40.715,44,1:32.503,False,False
01:38:45.556,12,1:48.147,False,False
01:38:48.002,27,1:33.266,False,False
01:38:49.379,55,1:45.727,False,False
01:38:52.891,87,1:34.140,False,False
01:38:53.574,10,1:34.359,False,False
01:38:55.710,14,1:33.205,False,False
01:38:58.122,6,1:31.853,False,False
01:38:58.483,31,1:31.463,False,False
01:39:03.402,5,1:32.822,False,False
01:39:08.410,18,1:32.634,False,False
01:39:20.576,30,1:34.112,False,False
01:39:36.447,81,1:31.432,False,False
01:39:45.197,4,1:31.612,False,False
01:39:58.005,63,1:32.164,False,False
01:40:05.187,16,1:32.452,False,False
01:40:13.011,1,1:45.511,False,False
01:40:13.126,22,1:37.380,False,False
01:40:13.575,44,1:32.824,False,False
01:40:16.322,12,1:30.795,True,True
01:40:17.039,23,1:45.269,False,False
01:40:20.398,55,1:31.198,False,True
01:40:21.123,27,1:33.274,False,False
01:40:26.260,10,1:32.770,False,True
01:40:26.523,87,1:33.604,False,False
01:40:28.895,14,1:33.003,False,False
01:40:29.939,6,1:31.902,False,False
01:40:30.537,31,1:31.960,False,False
01:40:35.785,5,1:32.420,False,False
01:40:40.990,18,1:32.527,False,True
01:40:55.080,30,1:34.372,False,False
01:41:08.126,81,1:31.718,False,False
01:41:16.877,4,1:31.786,False,False
01:41:30.411,63,1:32.391,False,False
01:41:37.396,16,1:32.228,False,True
01:41:49.554,1,1:36.612,False,False
01:41:53.274,44,1:39.786,False,False
01:41:53.954,12,1:37.710,False,False
01:41:55.151,23,1:38.254,False,False
01:41:58.558,55,1:38.091,False,False
01:42:01.749,27,1:40.580,False,False
01:42:07.432,10,1:41.231,False,False
01:42:08.323,22,1:55.106,False,False
01:42:13.736,6,1:43.810,False,False
01:42:14.074,31,1:43.701,False,False
01:42:17.285,14,1:48.651,False,False
01:42:20.485,5,1:44.735,False,False
01:42:27.132,18,1:46.250,False,False
01:42:53.124,30,1:58.141,False,False
01:43:07.311,81,1:59.118,False,False
01:43:18.796,4,2:01.886,False,False
01:43:38.767,63,2:08.381,False,False
01:43:48.634,16,2:11.178,False,False
01:43:54.266,1,2:04.704,False,False
01:43:58.834,12,2:04.850,False,False
01:43:59.508,23,2:04.258,False,False
01:44:03.848,55,2:05.347,False,False
01:44:06.860,27,2:05.176,False,False
01:44:08.559,44,2:15.146,False,False
01:44:10.287,10,2:02.824,False,False
01:44:11.085,22,2:02.748,False,False
01:44:14.498,6,2:00.719,False,False
01:44:14.996,31,2:00.870,False,False
01:44:22.149,5,2:01.597,False,False
01:44:26.239,14,2:08.730,False,False
01:44:27.298,18,2:00.032,False,False
01:44:51.849,30,1:58.646,False,False
01:45:01.124,81,1:53.761,False,False
01:45:08.135,4,1:49.289,False,False
01:45:24.543,63,1:45.845,False,False
01:45:26.110,1,1:31.899,False,True
01:45:30.625,12,1:31.786,False,False
01:45:30.751,23,1:31.203,False,True
01:45:35.411,16,1:46.616,False,False
01:45:35.587,55,1:31.546,False,False
01:45:39.375,44,1:30.620,True,True
01:45:39.656,27,1:32.735,False,False
01:45:42.537,22,1:31.531,False,True
01:45:43.603,10,1:33.172,False,False
01:45:45.786,6,1:31.233,False,True
01:45:46.234,31,1:31.122,False,True
01:45:58.952,14,1:32.823,False,False
01:45:59.950,18,1:32.804,False,False
01:46:19.176,5,1:57.049,False,False
01:46:23.653,30,1:31.770,False,True
01:46:31.357,81,1:30.170,True,True
01:46:38.466,4,1:30.375,False,True
01:46:54.998,63,1:30.318,False,True
01:46:57.210,1,1:31.025,False,False
01:47:01.832,23,1:31.071,False,False
01:47:03.291,12,1:32.717,False,False
01:47:08.142,55,1:32.773,False,False
01:47:08.852,16,1:33.623,False,False
01:47:10.288,44,1:31.139,False,False
01:47:12.799,27,1:33.128,False,False
01:47:14.273,22,1:31.698,False,False
01:47:15.950,10,1:32.523,False,True
01:47:17.476,6,1:31.671,False,False
01:47:18.026,31,1:31.877,False,False
01:47:31.815,14,1:32.855,False,False
01:47:33.052,18,1:32.974,False,False
01:47:55.937,30,1:32.361,False,False
01:48:01.361,81,1:30.211,False,False
01:48:08.874,4,1:30.414,False,False
01:48:26.136,63,1:31.208,False,False
01:48:29.004,1,1:31.781,False,False
01:48:33.436,23,1:31.514,False,False
01:48:35.463,12,1:31.967,False,False
01:48:39.867,55,1:31.597,False,False
01:48:40.482,16,1:31.641,False,True
01:48:41.597,44,1:31.221,False,False
01:48:46.116,27,1:33.230,False,False
01:48:47.253,22,1:33.002,False,False
01:48:53.277,6,1:36.020,False,False
01:48:54.556,10,1:38.570,False,False
01:48:55.227,31,1:37.165,False,False
01:49:13.076,14,1:41.254,False,False
01:49:15.746,18,1:42.783,False,False
01:49:47.826,30,1:51.905,False,False
01:49:52.005,81,1:50.583,False,False
01:50:02.795,4,1:53.913,False,False
01:50:24.702,63,1:58.663,False,False
01:50:28.111,1,1:59.077,False,False
01:50:32.777,23,1:59.283,False,False
01:50:35.111,12,1:59.776,False,False
01:50:41.230,55,2:01.453,False,False
01:50:41.536,16,2:00.821,False,False
01:50:41.760,44,2:00.171,False,False
01:50:45.158,27,1:59.066,False,False
01:50:45.916,22,1:58.586,False,False
01:50:48.999,6,1:55.478,False,False
01:50:49.468,31,1:54.247,False,False
01:50:57.990,10,2:03.372,False,False
01:51:04.189,14,1:51.086,False,False
01:51:05.637,18,1:49.780,False,False
01:51:27.426,30,1:39.589,False,False
01:51:30.182,81,1:38.046,False,False
01:51:37.456,4,1:34.624,False,False
01:51:55.611,63,1:30.826,False,False
01:51:58.988,1,1:30.879,False,True
01:52:03.239,23,1:30.608,False,True
01:52:06.054,12,1:30.845,False,False
01:52:12.116,16,1:30.813,False,True
01:52:12.579,44,1:30.922,False,False
01:52:13.300,55,1:31.979,False,False
01:52:17.117,22,1:31.393,False,True
01:52:18.003,27,1:32.815,False,False
01:52:20.147,6,1:31.309,False,False
01:52:20.793,31,1:31.330,False,False
01:52:29.337,10,1:31.372,False,True
01:52:36.614,14,1:32.364,False,True
01:52:37.762,18,1:32.189,False,True
01:52:59.837,81,1:29.822,True,True
01:53:01.914,30,1:34.513,False,False
01:53:07.314,4,1:29.834,False,True
01:53:26.516,63,1:30.856,False,False
01:53:29.604,1,1:30.680,False,False
01:53:34.369,23,1:31.143,False,False
01:53:36.855,12,1:30.807,False,False
01:53:42.659,16,1:30.461,False,False
01:53:43.140,44,1:30.562,False,True
01:53:43.989,55,1:30.703,False,True
01:53:48.775,22,1:31.410,False,False
01:53:50.592,27,1:32.655,False,False
01:53:51.775,6,1:31.488,False,False
01:53:52.340,31,1:31.511,False,False
01:54:00.489,10,1:31.159,False,False
01:54:09.037,14,1:32.440,False,False
01:54:10.083,18,1:32.333,False,False
01:54:30.168,81,1:30.201,False,False
01:54:34.755,30,1:32.855,False,False
01:54:36.902,4,1:29.746,True,False
01:54:57.615,63,1:31.119,False,False
01:55:00.379,1,1:30.829,False,False
01:55:05.200,23,1:30.799,False,False
01:55:07.738,12,1:30.948,False,False
01:55:13.289,16,1:30.724,False,False
01:55:13.938,44,1:30.723,False,False
01:55:15.139,55,1:31.132,False,False
01:55:20.045,22,1:31.287,False,True
01:55:23.358,6,1:31.730,False,False
01:55:23.858,31,1:31.650,False,False
01:55:27.796,27,1:37.202,False,False
01:55:32.038,10,1:31.533,False,False
01:55:41.214,14,1:32.227,False,True
01:55:42.515,18,1:32.387,False,False
01:56:00.138,81,1:30.070,False,False
01:56:07.019,4,1:29.975,False,False
01:56:22.220,30,1:47.470,False,False
01:56:28.856,63,1:31.197,False,False
01:56:31.124,1,1:30.751,False,False
01:56:36.314,23,1:31.111,False,False
01:56:39.072,12,1:31.352,False,False
01:56:44.353,16,1:30.970,False,False
01:56:44.754,44,1:30.856,False,False
01:56:46.162,55,1:31.000,False,False
01:56:51.417,22,1:31.495,False,False
01:56:55.167,6,1:31.747,False,False
01:56:55.628,31,1:31.747,False,False
01:57:03.640,10,1:31.682,False,False
01:57:12.879,27,1:44.964,False,False
01:57:13.858,14,1:32.641,False,False
01:57:15.453,18,1:32.999,False,False
01:57:30.360,81,1:30.167,False,False
01:57:37.161,4,1:30.196,False,False
01:57:59.601,63,1:30.859,False,False
01:58:02.177,1,1:30.992,False,False
01:58:07.728,23,1:31.363,False,False
01:58:10.201,12,1:31.086,False,False
01:58:15.539,44,1:30.822,False,False
01:58:16.631,16,1:32.290,False,False
01:58:17.501,55,1:31.414,False,False
01:58:22.754,22,1:31.199,False,True
01:58:26.689,6,1:31.452,False,False
01:58:27.485,31,1:31.603,False,False
01:58:35.354,10,1:31.642,False,False
01:58:44.129,27,1:31.365,False,True
01:58:45.161,14,1:31.287,False,True
01:58:47.782,18,1:32.298,False,False
01:59:00.534,81,1:30.194,False,False
01:59:07.356,4,1:30.168,False,False
01:59:30.629,63,1:31.000,False,False
01:59:32.955,1,1:30.793,False,False
01:59:38.982,23,1:31.351,False,False
01:59:41.420,12,1:31.188,False,False
01:59:46.471,44,1:30.961,False,False
01:59:47.965,16,1:31.324,False,False
01:59:48.854,55,1:31.285,False,False
01:59:54.384,22,1:31.557,False,False
01:59:58.152,6,1:31.507,False,False
01:59:58.885,31,1:31.553,False,False
02:00:06.956,10,1:31.602,False,False
02:00:15.144,27,1:31.044,False,False
02:00:17.193,14,1:32.011,False,False
