timestamp,driver_number,lap_time,fastest,personal_fastest
00:23:17.824,22,1:29.679,False,True
00:23:22.156,14,2:15.927,False,False
00:23:22.739,31,1:29.887,False,True
00:23:32.091,7,2:04.000,False,False
00:23:43.700,44,1:29.482,False,True
00:24:00.755,81,2:14.600,False,False
00:24:11.115,5,2:15.431,False,False
00:24:15.436,87,3:04.485,False,False
00:24:21.151,10,2:00.441,False,False
00:24:27.394,12,2:22.865,False,False
00:24:37.639,16,2:35.519,False,False
00:24:38.468,27,2:20.056,False,False
00:24:44.077,55,2:31.961,False,False
00:24:49.455,6,2:27.723,False,False
00:24:49.493,4,2:17.039,False,False
00:25:02.068,23,2:35.371,False,False
00:25:02.677,7,1:30.547,False,True
00:25:12.811,63,2:10.950,False,False
00:25:19.709,30,2:37.012,False,False
00:25:26.639,18,2:32.553,False,False
00:25:44.894,1,2:39.198,False,False
00:25:45.494,87,1:30.229,False,True
00:25:47.477,5,1:36.446,False,False
00:25:50.294,10,1:29.366,False,True
00:25:56.495,12,1:29.094,False,True
00:25:57.653,31,2:34.875,False,False
00:26:01.058,22,2:43.175,False,False
00:26:02.966,14,2:40.849,False,False
00:26:06.592,16,1:29.057,False,True
00:26:15.020,81,2:14.171,False,False
00:26:18.319,4,1:28.852,False,True
00:26:38.733,44,2:54.992,False,False
00:26:41.131,63,1:28.488,True,True
00:26:49.283,30,1:29.807,False,True
00:26:53.350,6,2:03.915,False,False
00:26:57.068,18,1:30.433,False,True
00:27:02.007,55,2:17.875,False,False
00:27:18.757,7,2:16.125,False,False
00:27:25.092,23,2:23.037,False,False
00:27:33.040,14,1:30.183,False,True
00:27:43.619,81,1:28.812,False,True
00:28:04.619,1,2:19.603,False,False
00:28:07.859,44,1:29.184,False,True
00:28:20.146,12,2:23.622,False,False
00:28:21.678,10,2:31.258,False,False
00:28:22.113,87,2:36.483,False,False
00:28:22.783,6,1:29.551,False,True
00:28:31.855,22,2:30.829,False,False
00:28:38.893,4,2:20.563,False,False
00:28:45.188,31,2:47.411,False,False
00:28:53.978,23,1:28.895,False,True
00:28:57.032,16,2:50.240,False,False
00:29:08.479,55,2:06.513,False,False
00:29:16.795,18,2:19.678,False,False
00:29:24.910,30,2:35.432,False,False
00:29:29.097,7,2:10.297,False,False
00:29:33.195,1,1:28.606,False,True
00:29:36.778,63,2:55.450,False,False
00:29:44.856,81,2:01.013,False,False
00:29:54.393,14,2:21.304,False,False
00:30:01.030,22,1:29.186,False,True
00:30:07.131,4,1:28.391,True,True
00:30:14.231,31,1:29.179,False,True
00:30:30.733,10,2:09.039,False,False
00:30:37.180,55,1:28.793,False,True
00:30:43.368,6,2:20.543,False,False
00:30:47.040,18,1:30.282,False,True
00:30:52.000,16,1:55.065,False,False
00:30:58.693,7,1:29.671,False,True
00:31:00.216,12,2:40.134,False,False
00:31:04.620,63,1:28.058,True,True
00:31:06.279,44,2:58.353,False,False
00:31:10.492,87,2:48.059,False,False
00:31:17.996,23,2:24.031,False,False
00:31:23.543,30,1:58.603,False,False
00:31:24.120,14,1:29.820,False,True
00:31:24.419,1,1:51.286,False,False
00:31:59.698,10,1:29.084,False,True
00:32:03.329,4,1:56.026,False,False
00:32:11.494,22,2:09.766,False,False
00:32:12.517,6,1:29.004,False,True
00:32:20.780,16,1:28.858,False,True
00:32:20.780,31,2:06.562,False,False
00:32:29.015,12,1:28.811,False,True
00:32:35.616,44,1:29.321,False,False
00:32:39.087,87,1:28.996,False,True
00:32:52.742,30,1:29.350,False,True
00:33:06.009,63,2:01.201,False,False
00:33:17.142,18,2:30.094,False,False
00:33:20.703,55,2:43.485,False,False
00:33:32.932,7,2:34.169,False,False
00:33:33.879,14,2:09.694,False,False
00:33:34.835,23,2:16.787,False,False
00:34:06.222,10,2:06.365,False,False
00:34:24.641,16,2:03.812,False,False
