timestamp,driver_number,type,speed,fastest,personal_fastest
00:34:14.157,87,ST,244,False,False
00:34:15.819,12,I2,118,False,False
00:34:18.894,7,I1,151,False,False
00:34:29.144,30,ST,254,False,False
00:34:34.069,12,ST,196,False,False
00:34:38.142,23,I2,190,False,True
00:34:41.552,55,I2,153,False,False
00:34:47.194,18,I1,178,False,False
00:34:49.900,14,I1,159,False,False
00:34:50.721,23,ST,331,False,False
00:34:55.381,55,ST,207,False,False
00:34:57.244,6,I1,218,False,True
00:35:10.580,7,I2,162,False,False
00:35:13.170,44,I2,97,False,False
00:35:24.280,7,ST,303,False,False
00:35:30.779,44,ST,183,False,False
00:35:31.269,6,I2,188,False,False
00:35:32.394,18,I2,106,False,False
00:35:39.145,55,I1,221,True,True
00:35:43.196,14,I2,127,False,False
00:35:43.911,6,ST,329,False,False
00:35:45.187,23,I1,181,False,False
00:35:47.565,18,ST,201,False,False
00:35:59.494,14,ST,291,False,False
00:36:10.221,7,I1,218,False,False
00:36:12.796,55,I2,189,False,True
00:36:13.338,12,I1,137,False,False
00:36:16.013,44,I1,217,False,False
00:36:25.334,55,ST,332,False,False
00:36:26.918,23,I2,165,False,False
00:36:30.113,6,I1,194,False,False
00:36:33.910,18,I1,212,False,False
00:36:42.770,23,ST,273,False,False
00:36:43.181,14,I1,216,False,False
00:36:43.912,7,I2,187,False,False
00:36:50.143,44,I2,189,False,True
00:36:56.595,7,ST,329,False,False
00:37:00.497,12,I2,137,False,False
00:37:02.670,44,ST,329,False,False
00:37:08.342,18,I2,189,False,True
00:37:10.511,6,I2,169,False,False
00:37:14.421,55,I1,191,False,False
00:37:14.758,12,ST,300,False,False
00:37:17.395,14,I2,190,False,False
00:37:20.852,18,ST,330,False,False
00:37:24.218,6,ST,252,False,False
00:37:29.933,14,ST,332,False,False
00:37:49.642,7,I1,165,False,False
00:37:51.058,44,I1,184,False,False
00:37:52.599,55,I2,162,False,False
00:37:57.833,12,I1,221,True,True
00:38:07.759,55,ST,276,False,False
00:38:23.527,14,I1,190,False,False
00:38:23.527,18,I1,133,False,False
00:38:31.733,12,I2,192,True,True
00:38:38.944,7,I2,133,False,False
00:38:39.258,44,I2,78,False,False
00:38:44.181,12,ST,334,False,False
00:38:56.442,7,ST,220,False,False
00:38:59.360,44,ST,213,False,False
00:39:03.911,5,I1,184,False,False
00:39:04.711,14,I2,166,False,False
00:39:14.643,18,I2,106,False,False
00:39:18.782,14,ST,258,False,False
00:39:29.922,18,ST,235,False,False
00:39:35.024,12,I1,159,False,False
00:39:48.421,5,I2,136,False,False
00:40:03.355,14,I1,216,False,False
00:40:06.733,5,ST,163,False,False
00:40:14.623,18,I1,215,False,False
00:40:22.243,12,I2,153,False,False
00:40:36.822,12,ST,240,False,False
00:40:37.555,30,I1,211,False,False
00:40:38.421,14,I2,189,False,False
00:40:48.951,18,I2,189,False,False
00:40:50.722,5,I1,216,False,True
00:40:51.324,14,ST,292,False,False
00:41:01.567,18,ST,329,False,False
00:41:09.709,81,I1,142,False,False
00:41:14.559,30,I2,183,False,False
00:41:20.171,4,I1,177,False,False
00:41:20.443,22,I1,196,False,False
00:41:25.132,5,I2,189,False,True
00:41:26.482,30,ST,294,False,False
00:41:35.481,14,I1,210,False,False
00:41:37.735,5,ST,332,False,False
00:41:52.481,81,I2,109,False,False
